"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8","source","source_priority","sources_contributing","date_added"
"Supracellular structure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-19"
"Organ","","Anatomical structure, which consists of the maximal set of organ parts so connected to one another that together they constitute a unit of macroscopic anatomy, structurally distinct from other such units.","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Anatomical entity","","* Biomaterial object constituting the structural organization of a biological organism or an attribute of that organization.
* A biomaterial object constituting a part of a complete organismal object.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-19"
"Regional part of body","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Bio physical immaterial entity","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-19"
"Regional part of body system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Body system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Regional part of organ","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Body","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Tissue","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of organ","","","","","","","","nif","2","nif","2025-11-19"
"Bodily fluid","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Anatomical entity","","","","","","","","nif","2","nif","2025-11-19"
"Predominantly gray regional part of Preoptic area","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of Preoptic area","","","","","","","","nif","2","nif","2025-11-19"
"Tectopontine tract","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Regional part of basal nuclear complex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of telencephalon","","","","","","","","nif","2","nif","2025-11-19"
"Pretectal region","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Dorsal septal nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Fornix","","is a C-shaped bundle of fibres (axons) in the brain, and carries signals from the hippocampus to the mammillary bodies and septal nuclei. It is typically divided into the columns (crus), body, commissure and the pre-commissural and post-commissural fornix (MM).","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Medial preoptic nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Trapezoid body","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Subthalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Predominantly gray regional part of ventral anterior nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Predominantly gray regional part of ventral nuclear group","","","","","","","","nif","2","nif","2025-11-19"
"Cerebral white matter","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Nucleus of anterior commissure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Ventral oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Third ventricle","","Part of the ventricular system of the brain, forming a single large cavity in the midline of the diencephalon; it is continuous with the lateral ventricles through the interventricular foramen and the fourth ventricle through the cerebral aqueduct. (Maryann Martone)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Hippocampal formation","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Magnocellular part of ventral anterior nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Regional part of spinal cord central canal","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of neuraxis cavity","","","","","","","","nif","2","nif","2025-11-19"
"Predominantly gray regional part of inferior colliculus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of inferior colliculus","","","","","","","","nif","2","nif","2025-11-19"
"Nucleus of diagonal band","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Magnocellular part of red nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
"Hippocampus","","A part of the brain consisting of a three layered cortex located in the forebrain bordering the medial surface of the lateral ventricle. The term hippocampus is often used synonymously with hippocampal formation which consists of the hippocampus proper or Cornu Ammonis, the dentate gyrus and the subiculum.","","","","","","","","","","","","Regional part of brain","","","","","","","","nif","2","nif","2025-11-19"
